Rank on Chart,album,artist,peakRank,weeksOnChart,No. 1 Hits,Top 10 Hits
153,"

Life Changes

","

Thomas Rhett

",1,102,2,4
154,"

In The Lonely Hour

","

Sam Smith

",2,269,1,2
155,"

Aladdin (2019)

","

Soundtrack

",6,13,1,2
156,"

24K Magic

","

Bruno Mars

",2,144,1,3
157,"

Nevermind

","

Nirvana

",1,435,4,5
158,"

ICY

","
Saweetie
",158,6,4,5
159,"

Wildboy

","
Calboy
",30,12,4,5
160,"

Camila

","

Camila Cabello

",1,84,1,1
161,"

Die Lit

","

Playboi Carti

",3,63,1,2
162,"

Amala

","
Doja Cat
",162,1,1,2
163,"

Until Death Call My Name

","

YoungBoy Never Broke Again

",7,69,1,11
164,"

Carte Blanche

","

DJ Snake

",48,4,1,2
165,"

A Decade Of Destruction

","

Five Finger Death Punch

",29,82,6,8
166,"

LoVE me NOw?

","

Tory Lanez

",4,42,3,3
167,"

World War Joy (EP)

","

The Chainsmokers

",48,12,1,2
168,"

Reloaded: 20 #1 Hits

","

Blake Shelton

",5,163,2,11
169,"

Street Gossip

","
Lil Baby
",2,38,2,11
170,"

 FATHER OF 4

","

Offset

",4,26,2,2
171,"

Dragons

","

Drew Holcomb And The Neighbors

",171,1,N/A,N/A
172,"

The Definitive Collection

","

Stevie Wonder

",35,70,3,11
173,"

Meet The Woo, V. 1 Mixtape

","
Pop Smoke
",173,1,3,11
174,"

Youngblood

","

5 Seconds Of Summer
 
",1,62,3,4
175,"

Birds In The Trap Sing McKnight

","

Travis Scott

",1,155,2,3
176,"

Victorious

","

Skillet

",17,3,3,9
177,"

Origins

","

Imagine Dragons

",2,41,1,4
178,"

Red Pill Blues

","

Maroon 5

",2,94,2,6
179,"

Not All Heroes Wear Capes

","

Metro Boomin

",1,42,1,3
180,"

A Love Letter To You 3

","

Trippie Redd

",3,33,N/A,N/A
181,"

Honk

","

The Rolling Stones

",23,18,9,37
182,"

Lateralus

","

Tool

",1,43,2,3
183,"

Doo-Wops & Hooligans

","

Bruno Mars

",3,435,1,3
184,"

Born To Die

","

Lana Del Rey

",2,322,2,5
185,"

Nothing Was The Same

","

Drake

",1,299,9,11
186,"

HOMECOMING: THE LIVE ALBUM

","

Beyonce

",4,19,6,9
187,"

Ultimate Sinatra

","

Frank Sinatra

",32,72,1,11
188,"

50 Number Ones

","

George Strait

",1,124,5,21
189,"

i,i

","

Bon Iver

",26,2,2,6
190,"

Greatest Hits

","

Train

",105,9,6,13
191,"

Greatest Hits: The Ultimate Collection

","

Bon Jovi

",5,141,6,13
192,"

Thriller

","

Michael Jackson

",1,380,6,10
193,"

Number One Hits

","

Tim McGraw

",27,141,4,18
194,"

Greatest Hits I II & III: The Platinum Collection

","

Queen

",6,150,1,8
195,"

Expectations

","

 Bebe Rexha

",13,61,N/A,N/A
196,"

21

","

Adele

",1,428,2,3
197,"

Illuminate

","

Shawn Mendes

",1,140,3,4
198,"

Confessions Of A Dangerous Mind

","

Logic

",1,15,3,6
199,"

Red

","

Taylor Swift

",1,154,5,7
200,"

Brett Young

","

Brett Young

",18,131,N/A,N/A
